"price","nom","km","year","fuel","power","phone","city","cp","type","url","marque","site","ref","dateScrap"
22900,,99600,2013,,184,,"Bruxelles","1000",,"http://fr.ww3.autoscout24.be/classified/297431200?asrc=st|as","BMW","Autoscout24","AS_297431200","2016-10-07T09:06:39.600Z"
19000,,28500,2013,,116,,"Kraainem","1950",,"http://fr.ww3.autoscout24.be/classified/297430994?asrc=st|as","Kia","Autoscout24","AS_297430994","2016-10-07T09:06:46.103Z"
18500,,93000,2013,,136,,"evere","1140",,"http://fr.ww3.autoscout24.be/classified/297430937?asrc=st|as","Volkswagen","Autoscout24","AS_297430937","2016-10-07T09:06:52.172Z"
13900,,70511,2014,,116,,"Court-St.-Étienne","1490",,"http://fr.ww3.autoscout24.be/classified/297430835?asrc=st|as","Hyundai","Autoscout24","AS_297430835","2016-10-07T09:06:57.881Z"
23999,,133500,2011,,170,,"Andenne","5300",,"http://fr.ww3.autoscout24.be/classified/297430745?asrc=st|as","Audi","Autoscout24","AS_297430745","2016-10-07T09:07:04.410Z"
16000,,56000,2013,,150,,"liège","4000",,"http://fr.ww3.autoscout24.be/classified/297430730?asrc=st|as","Mitsubishi","Autoscout24","AS_297430730","2016-10-07T09:07:10.099Z"
7900,,52000,2010,,109,,"ciney","5590",,"http://fr.ww3.autoscout24.be/classified/297430324?asrc=st|as","Citroen","Autoscout24","AS_297430324","2016-10-07T09:07:16.091Z"
10500,,77000,2014,,95,,"labuissière","6567",,"http://fr.ww3.autoscout24.be/classified/297430202?asrc=st|as","Fiat","Autoscout24","AS_297430202","2016-10-07T09:07:21.781Z"
5450,,125000,2009,,86,,"farciennes","6240",,"http://fr.ww3.autoscout24.be/classified/297430148?asrc=st|as","Renault","Autoscout24","AS_297430148","2016-10-07T09:07:27.810Z"
14500,,40023,2015,,90,,"visé","4600",,"http://fr.ww3.autoscout24.be/classified/297430007?asrc=st|as","Volkswagen","Autoscout24","AS_297430007","2016-10-07T09:07:33.837Z"
25500,,43000,2012,,163,,"Bruxelles","1080",,"http://fr.ww3.autoscout24.be/classified/297429951?asrc=st|as","Audi","Autoscout24","AS_297429951","2016-10-07T09:07:40.055Z"
45000,,9800,2016,,121,,"waregem","8790",,"http://fr.ww3.autoscout24.be/classified/297429938?asrc=st|as","Mitsubishi","Autoscout24","AS_297429938","2016-10-07T09:07:46.802Z"
16000,,17400,2015,,75,,"Oudenburg","8460",,"http://fr.ww3.autoscout24.be/classified/297429816?asrc=st|as","Ford","Autoscout24","AS_297429816","2016-10-07T09:07:52.057Z"
15500,,18756,2014,,105,,"Voroux-Lez-Liers","4451",,"http://fr.ww3.autoscout24.be/classified/297429656?asrc=st|as","SEAT","Autoscout24","AS_297429656","2016-10-07T09:08:00.151Z"
10250,,30000,2014,,69,,"Hoegaarden","3320",,"http://fr.ww3.autoscout24.be/classified/297429394?asrc=st|as","Fiat","Autoscout24","AS_297429394","2016-10-07T09:08:04.152Z"
6500,,115000,2010,,86,,"mortsel","2640",,"http://fr.ww3.autoscout24.be/classified/297429164?asrc=st|as","Renault","Autoscout24","AS_297429164","2016-10-07T09:08:10.218Z"
23499,,122000,2012,,204,,"Genk","3600",,"http://fr.ww3.autoscout24.be/classified/297428739?asrc=st|as","BMW","Autoscout24","AS_297428739","2016-10-07T09:08:16.149Z"
5800,,100000,2009,,109,,"merksem","2170",,"http://fr.ww3.autoscout24.be/classified/297428589?asrc=st|as","Citroen","Autoscout24","AS_297428589","2016-10-07T09:08:22.285Z"
60000,,28000,2016,,241,,"wortegem","9790",,"http://fr.ww3.autoscout24.be/classified/297423442?asrc=st|as","Alfa","Autoscout24","AS_297423442","2016-10-07T09:08:28.345Z"
6900,,30000,2011,,60,,"saint vaast","7100",,"http://fr.ww3.autoscout24.be/classified/297423441?asrc=st|as","Skoda","Autoscout24","AS_297423441","2016-10-07T09:08:34.319Z"
6499,,81780,2009,,136,,"Moresnet","4850",,"http://fr.ww3.autoscout24.be/classified/297414329?asrc=st|as","Kia","Autoscout24","AS_297414329","2016-10-07T09:08:40.215Z"
14500,,70000,2011,,90,,"Remouchamps","4920",,"http://fr.ww3.autoscout24.be/classified/297409768?asrc=st|as","MINI","Autoscout24","AS_297409768","2016-10-07T09:08:46.292Z"
32500,,135000,2010,,211,,"Bruxelles","1160",,"http://fr.ww3.autoscout24.be/classified/297409741?asrc=st|as","BMW","Autoscout24","AS_297409741","2016-10-07T09:08:52.172Z"
27000,,25000,2015,,156,,"Aalst","9300",,"http://fr.ww3.autoscout24.be/classified/297409670?asrc=st|as","Mercedes-Benz","Autoscout24","AS_297409670","2016-10-07T09:08:58.366Z"
5500,,215,2010,,109,,"MENEN","8930",,"http://fr.ww3.autoscout24.be/classified/297409598?asrc=st|as","Peugeot","Autoscout24","AS_297409598","2016-10-07T09:09:04.741Z"
14500,,39000,2013,,117,,"uccle","1180",,"http://fr.ww3.autoscout24.be/classified/297409578?asrc=st|as","Nissan","Autoscout24","AS_297409578","2016-10-07T09:09:10.700Z"
5350,,82000,2010,,68,,"Kapellen","2950",,"http://fr.ww3.autoscout24.be/classified/297408624?asrc=st|as","Dacia","Autoscout24","AS_297408624","2016-10-07T09:09:16.756Z"
6000,,20271,2011,,63,,"waremme","4300",,"http://fr.ww3.autoscout24.be/classified/297408481?asrc=st|as","Kia","Autoscout24","AS_297408481","2016-10-07T09:09:22.388Z"
13000,,70063,2012,,105,,"Haaltert","9450",,"http://fr.ww3.autoscout24.be/classified/297408475?asrc=st|as","Skoda","Autoscout24","AS_297408475","2016-10-07T09:09:28.415Z"
19500,,139000,2014,,105,,"Bruxelles","1160",,"http://fr.ww3.autoscout24.be/classified/297408455?asrc=st|as","Volkswagen","Autoscout24","AS_297408455","2016-10-07T09:09:34.317Z"
9850,,25000,2014,,60,,"Antwerpen","2018",,"http://fr.ww3.autoscout24.be/classified/297408121?asrc=st|as","Volkswagen","Autoscout24","AS_297408121","2016-10-07T09:09:40.399Z"
7000,,92000,2011,,95,,"Mouscron","7700",,"http://fr.ww3.autoscout24.be/classified/297408050?asrc=st|as","Opel","Autoscout24","AS_297408050","2016-10-07T09:09:46.955Z"
16900,,16300,2014,,131,,"wakken","8720",,"http://fr.ww3.autoscout24.be/classified/297407633?asrc=st|as","Renault","Autoscout24","AS_297407633","2016-10-07T09:09:52.564Z"
